Date_Key,Date,Year,Month,MonthName,Week,WeekDay,WeekDayName,DayNumber
20160101,1/1/2016,2016,1,January,1,6,Friday,1
20160102,1/2/2016,2016,1,January,1,7,Saturday,2
20160103,1/3/2016,2016,1,January,2,1,Sunday,3
20160104,1/4/2016,2016,1,January,2,2,Monday,4
20160105,1/5/2016,2016,1,January,2,3,Tuesday,5
20160106,1/6/2016,2016,1,January,2,4,Wednesday,6
20160107,1/7/2016,2016,1,January,2,5,Thursday,7
20160108,1/8/2016,2016,1,January,2,6,Friday,8
20160109,1/9/2016,2016,1,January,2,7,Saturday,9
20160110,1/10/2016,2016,1,January,3,1,Sunday,10
20160111,1/11/2016,2016,1,January,3,2,Monday,11
20160112,1/12/2016,2016,1,January,3,3,Tuesday,12
20160113,1/13/2016,2016,1,January,3,4,Wednesday,13
20160114,1/14/2016,2016,1,January,3,5,Thursday,14
20160115,1/15/2016,2016,1,January,3,6,Friday,15
20160116,1/16/2016,2016,1,January,3,7,Saturday,16
20160117,1/17/2016,2016,1,January,4,1,Sunday,17
20160118,1/18/2016,2016,1,January,4,2,Monday,18
20160119,1/19/2016,2016,1,January,4,3,Tuesday,19
20160120,1/20/2016,2016,1,January,4,4,Wednesday,20
20160121,1/21/2016,2016,1,January,4,5,Thursday,21
20160122,1/22/2016,2016,1,January,4,6,Friday,22
20160123,1/23/2016,2016,1,January,4,7,Saturday,23
20160124,1/24/2016,2016,1,January,5,1,Sunday,24
20160125,1/25/2016,2016,1,January,5,2,Monday,25
20160126,1/26/2016,2016,1,January,5,3,Tuesday,26
20160127,1/27/2016,2016,1,January,5,4,Wednesday,27
20160128,1/28/2016,2016,1,January,5,5,Thursday,28
20160129,1/29/2016,2016,1,January,5,6,Friday,29
20160130,1/30/2016,2016,1,January,5,7,Saturday,30
20160131,1/31/2016,2016,1,January,6,1,Sunday,31
20160201,2/1/2016,2016,2,February,6,2,Monday,1
20160202,2/2/2016,2016,2,February,6,3,Tuesday,2
20160203,2/3/2016,2016,2,February,6,4,Wednesday,3
20160204,2/4/2016,2016,2,February,6,5,Thursday,4
20160205,2/5/2016,2016,2,February,6,6,Friday,5
20160206,2/6/2016,2016,2,February,6,7,Saturday,6
20160207,2/7/2016,2016,2,February,7,1,Sunday,7
20160208,2/8/2016,2016,2,February,7,2,Monday,8
20160209,2/9/2016,2016,2,February,7,3,Tuesday,9
20160210,2/10/2016,2016,2,February,7,4,Wednesday,10
20160211,2/11/2016,2016,2,February,7,5,Thursday,11
20160212,2/12/2016,2016,2,February,7,6,Friday,12
20160213,2/13/2016,2016,2,February,7,7,Saturday,13
20160214,2/14/2016,2016,2,February,8,1,Sunday,14
20160215,2/15/2016,2016,2,February,8,2,Monday,15
20160216,2/16/2016,2016,2,February,8,3,Tuesday,16
20160217,2/17/2016,2016,2,February,8,4,Wednesday,17
20160218,2/18/2016,2016,2,February,8,5,Thursday,18
20160219,2/19/2016,2016,2,February,8,6,Friday,19
20160220,2/20/2016,2016,2,February,8,7,Saturday,20
20160221,2/21/2016,2016,2,February,9,1,Sunday,21
20160222,2/22/2016,2016,2,February,9,2,Monday,22
20160223,2/23/2016,2016,2,February,9,3,Tuesday,23
20160224,2/24/2016,2016,2,February,9,4,Wednesday,24
