TransID,product_id,Order_Date_Key,Required_Date_Key,Shipped_Date_Key,order_id,item_id,customer_id,order_date,required_date,shipped_date,quantity,list_price,discount
1,20,20160101,20160103,20160103,1,1,259,1/1/2016,1/3/2016,1/3/2016,1,599.99,0.2
2,8,20160101,20160103,20160103,1,2,259,1/1/2016,1/3/2016,1/3/2016,2,1799.99,0.07
3,10,20160101,20160103,20160103,1,3,259,1/1/2016,1/3/2016,1/3/2016,2,1549,0.05
4,16,20160101,20160103,20160103,1,4,259,1/1/2016,1/3/2016,1/3/2016,2,599.99,0.05
5,4,20160101,20160103,20160103,1,5,259,1/1/2016,1/3/2016,1/3/2016,1,2899.99,0.2
6,20,20160101,20160104,20160103,2,1,1212,1/1/2016,1/4/2016,1/3/2016,1,599.99,0.07
7,16,20160101,20160104,20160103,2,2,1212,1/1/2016,1/4/2016,1/3/2016,2,599.99,0.05
8,3,20160102,20160105,20160103,3,1,523,1/2/2016,1/5/2016,1/3/2016,1,999.99,0.05
9,20,20160102,20160105,20160103,3,2,523,1/2/2016,1/5/2016,1/3/2016,1,599.99,0.05
10,2,20160103,20160104,20160105,4,1,175,1/3/2016,1/4/2016,1/5/2016,2,749.99,0.1
11,10,20160103,20160106,20160106,5,1,1324,1/3/2016,1/6/2016,1/6/2016,2,1549,0.05
12,17,20160103,20160106,20160106,5,2,1324,1/3/2016,1/6/2016,1/6/2016,1,429,0.07
13,26,20160103,20160106,20160106,5,3,1324,1/3/2016,1/6/2016,1/6/2016,1,599.99,0.07
14,18,20160104,20160107,20160105,6,1,94,1/4/2016,1/7/2016,1/5/2016,1,449,0.07
15,12,20160104,20160107,20160105,6,2,94,1/4/2016,1/7/2016,1/5/2016,2,549.99,0.05
16,20,20160104,20160107,20160105,6,3,94,1/4/2016,1/7/2016,1/5/2016,1,599.99,0.1
17,3,20160104,20160107,20160105,6,4,94,1/4/2016,1/7/2016,1/5/2016,2,999.99,0.07
18,9,20160104,20160107,20160105,6,5,94,1/4/2016,1/7/2016,1/5/2016,2,2999.99,0.07
19,15,20160104,20160107,20160105,7,1,324,1/4/2016,1/7/2016,1/5/2016,1,529.99,0.07
20,3,20160104,20160107,20160105,7,2,324,1/4/2016,1/7/2016,1/5/2016,1,999.99,0.1
21,17,20160104,20160107,20160105,7,3,324,1/4/2016,1/7/2016,1/5/2016,2,429,0.1
22,22,20160104,20160105,20160105,8,1,1204,1/4/2016,1/5/2016,1/5/2016,1,269.99,0.05
23,20,20160104,20160105,20160105,8,2,1204,1/4/2016,1/5/2016,1/5/2016,2,599.99,0.07
24,7,20160105,20160108,20160108,9,1,60,1/5/2016,1/8/2016,1/8/2016,2,3999.99,0.1
25,14,20160105,20160106,20160106,10,1,442,1/5/2016,1/6/2016,1/6/2016,1,269.99,0.1
26,8,20160105,20160108,20160107,11,1,1326,1/5/2016,1/8/2016,1/7/2016,1,1799.99,0.05
27,22,20160105,20160108,20160107,11,2,1326,1/5/2016,1/8/2016,1/7/2016,2,269.99,0.1
28,16,20160105,20160108,20160107,11,3,1326,1/5/2016,1/8/2016,1/7/2016,2,599.99,0.2
29,4,20160106,20160108,20160109,12,1,91,1/6/2016,1/8/2016,1/9/2016,2,2899.99,0.1
30,11,20160106,20160108,20160109,12,2,91,1/6/2016,1/8/2016,1/9/2016,1,1680.99,0.05
31,13,20160108,20160111,20160111,13,1,873,1/8/2016,1/11/2016,1/11/2016,1,269.99,0.1
32,17,20160108,20160111,20160111,13,2,873,1/8/2016,1/11/2016,1/11/2016,2,429,0.05
33,20,20160108,20160111,20160111,13,3,873,1/8/2016,1/11/2016,1/11/2016,2,599.99,0.1
34,16,20160108,20160111,20160111,13,4,873,1/8/2016,1/11/2016,1/11/2016,2,599.99,0.05
35,6,20160109,20160111,20160112,14,1,258,1/9/2016,1/11/2016,1/12/2016,1,469.99,0.07
36,12,20160109,20160110,20160112,15,1,450,1/9/2016,1/10/2016,1/12/2016,2,549.99,0.07
37,8,20160109,20160110,20160112,15,2,450,1/9/2016,1/10/2016,1/12/2016,1,1799.99,0.07
38,18,20160109,20160110,20160112,15,3,450,1/9/2016,1/10/2016,1/12/2016,2,449,0.05
39,23,20160109,20160110,20160112,15,4,450,1/9/2016,1/10/2016,1/12/2016,2,299.99,0.2
40,8,20160112,20160115,20160115,16,1,552,1/12/2016,1/15/2016,1/15/2016,1,1799.99,0.2
41,21,20160112,20160115,20160115,16,2,552,1/12/2016,1/15/2016,1/15/2016,1,269.99,0.05
42,13,20160112,20160115,20160115,16,3,552,1/12/2016,1/15/2016,1/15/2016,2,269.99,0.07
43,14,20160112,20160115,20160115,16,4,552,1/12/2016,1/15/2016,1/15/2016,1,269.99,0.07
44,8,20160112,20160114,20160114,17,1,1175,1/12/2016,1/14/2016,1/14/2016,1,1799.99,0.07
45,23,20160112,20160114,20160114,17,2,1175,1/12/2016,1/14/2016,1/14/2016,1,299.99,0.1
46,5,20160112,20160114,20160114,17,3,1175,1/12/2016,1/14/2016,1/14/2016,1,1320.99,0.1
47,20,20160112,20160114,20160114,17,4,1175,1/12/2016,1/14/2016,1/14/2016,2,599.99,0.2
48,2,20160114,20160117,20160115,18,1,541,1/14/2016,1/17/2016,1/15/2016,2,749.99,0.2
49,22,20160114,20160117,20160115,18,2,541,1/14/2016,1/17/2016,1/15/2016,1,269.99,0.05
50,7,20160114,20160117,20160115,18,3,541,1/14/2016,1/17/2016,1/15/2016,1,3999.99,0.1
51,25,20160114,20160117,20160115,18,4,541,1/14/2016,1/17/2016,1/15/2016,2,499.99,0.05
52,9,20160114,20160117,20160115,18,5,541,1/14/2016,1/17/2016,1/15/2016,2,2999.99,0.1
53,10,20160114,20160117,20160116,19,1,696,1/14/2016,1/17/2016,1/16/2016,1,1549,0.07
54,9,20160114,20160117,20160116,19,2,696,1/14/2016,1/17/2016,1/16/2016,2,2999.99,0.2
55,9,20160114,20160116,20160117,20,1,923,1/14/2016,1/16/2016,1/17/2016,1,2999.99,0.07
56,10,20160114,20160116,20160117,20,2,923,1/14/2016,1/16/2016,1/17/2016,2,1549,0.07
57,14,20160115,20160116,20160118,21,1,1250,1/15/2016,1/16/2016,1/18/2016,1,269.99,0.05
58,17,20160115,20160116,20160118,21,2,1250,1/15/2016,1/16/2016,1/18/2016,1,429,0.1
59,10,20160115,20160116,20160118,21,3,1250,1/15/2016,1/16/2016,1/18/2016,1,1549,0.07
60,15,20160116,20160118,20160117,22,1,1035,1/16/2016,1/18/2016,1/17/2016,2,529.99,0.2
61,22,20160116,20160118,20160117,22,2,1035,1/16/2016,1/18/2016,1/17/2016,1,269.99,0.05
62,4,20160116,20160119,20160119,23,1,1149,1/16/2016,1/19/2016,1/19/2016,2,2899.99,0.05
63,23,20160116,20160119,20160119,23,2,1149,1/16/2016,1/19/2016,1/19/2016,2,299.99,0.1
64,13,20160116,20160119,20160119,23,3,1149,1/16/2016,1/19/2016,1/19/2016,1,269.99,0.2
65,3,20160118,20160120,20160119,24,1,636,1/18/2016,1/20/2016,1/19/2016,2,999.99,0.1
66,18,20160118,20160120,20160119,24,2,636,1/18/2016,1/20/2016,1/19/2016,2,449,0.07
67,23,20160118,20160121,20160121,25,1,657,1/18/2016,1/21/2016,1/21/2016,2,299.99,0.2
68,10,20160118,20160121,20160121,25,2,657,1/18/2016,1/21/2016,1/21/2016,2,1549,0.2
69,22,20160118,20160121,20160121,25,3,657,1/18/2016,1/21/2016,1/21/2016,1,269.99,0.2
70,14,20160118,20160121,20160121,25,4,657,1/18/2016,1/21/2016,1/21/2016,1,269.99,0.2
71,21,20160118,20160121,20160121,25,5,657,1/18/2016,1/21/2016,1/21/2016,1,269.99,0.1
72,7,20160118,20160121,20160119,26,1,1280,1/18/2016,1/21/2016,1/19/2016,1,3999.99,0.05
73,2,20160118,20160121,20160119,26,2,1280,1/18/2016,1/21/2016,1/19/2016,1,749.99,0.2
74,12,20160118,20160121,20160119,26,3,1280,1/18/2016,1/21/2016,1/19/2016,1,549.99,0.2
75,21,20160118,20160121,20160119,26,4,1280,1/18/2016,1/21/2016,1/19/2016,2,269.99,0.07
76,5,20160119,20160121,20160120,27,1,57,1/19/2016,1/21/2016,1/20/2016,1,1320.99,0.2
77,19,20160119,20160121,20160120,27,2,57,1/19/2016,1/21/2016,1/20/2016,1,449,0.2
78,26,20160119,20160121,20160120,27,3,57,1/19/2016,1/21/2016,1/20/2016,2,599.99,0.07
79,8,20160119,20160121,20160120,27,4,57,1/19/2016,1/21/2016,1/20/2016,1,1799.99,0.07
80,5,20160119,20160120,20160121,28,1,252,1/19/2016,1/20/2016,1/21/2016,1,1320.99,0.05
81,7,20160119,20160120,20160121,28,2,252,1/19/2016,1/20/2016,1/21/2016,2,3999.99,0.2
82,14,20160119,20160120,20160121,28,3,252,1/19/2016,1/20/2016,1/21/2016,2,269.99,0.1
83,6,20160119,20160120,20160121,28,4,252,1/19/2016,1/20/2016,1/21/2016,1,469.99,0.05
84,24,20160120,20160122,20160121,29,1,437,1/20/2016,1/22/2016,1/21/2016,2,549.99,0.05
85,6,20160120,20160122,20160121,29,2,437,1/20/2016,1/22/2016,1/21/2016,1,469.99,0.2
86,21,20160120,20160122,20160121,29,3,437,1/20/2016,1/22/2016,1/21/2016,2,269.99,0.1
87,8,20160120,20160122,20160121,29,4,437,1/20/2016,1/22/2016,1/21/2016,1,1799.99,0.2
88,14,20160120,20160122,20160121,29,5,437,1/20/2016,1/22/2016,1/21/2016,2,269.99,0.05
89,26,20160120,20160121,20160121,30,1,1348,1/20/2016,1/21/2016,1/21/2016,1,599.99,0.05
90,17,20160120,20160121,20160121,30,2,1348,1/20/2016,1/21/2016,1/21/2016,1,429,0.07
91,19,20160120,20160121,20160121,30,3,1348,1/20/2016,1/21/2016,1/21/2016,1,449,0.1
92,4,20160120,20160121,20160121,30,4,1348,1/20/2016,1/21/2016,1/21/2016,1,2899.99,0.1
93,7,20160120,20160121,20160121,30,5,1348,1/20/2016,1/21/2016,1/21/2016,2,3999.99,0.1
94,11,20160120,20160122,20160122,31,1,1238,1/20/2016,1/22/2016,1/22/2016,2,1680.99,0.05
95,9,20160120,20160122,20160122,31,2,1238,1/20/2016,1/22/2016,1/22/2016,2,2999.99,0.2
96,8,20160121,20160124,20160122,32,1,1259,1/21/2016,1/24/2016,1/22/2016,2,1799.99,0.07
97,12,20160121,20160124,20160122,32,2,1259,1/21/2016,1/24/2016,1/22/2016,2,549.99,0.07
98,25,20160121,20160124,20160122,32,3,1259,1/21/2016,1/24/2016,1/22/2016,2,499.99,0.1
99,23,20160121,20160122,20160122,33,1,236,1/21/2016,1/22/2016,1/22/2016,2,299.99,0.07
100,7,20160121,20160122,20160122,33,2,236,1/21/2016,1/22/2016,1/22/2016,1,3999.99,0.1
101,8,20160122,20160125,20160123,34,1,80,1/22/2016,1/25/2016,1/23/2016,2,1799.99,0.07
102,10,20160122,20160125,20160123,34,2,80,1/22/2016,1/25/2016,1/23/2016,2,1549,0.1
103,17,20160122,20160125,20160123,34,3,80,1/22/2016,1/25/2016,1/23/2016,2,429,0.2
104,18,20160122,20160125,20160124,35,1,813,1/22/2016,1/25/2016,1/24/2016,1,449,0.05
105,20,20160122,20160125,20160124,35,2,813,1/22/2016,1/25/2016,1/24/2016,2,599.99,0.05
106,5,20160122,20160125,20160124,35,3,813,1/22/2016,1/25/2016,1/24/2016,1,1320.99,0.2
